Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2706.161667,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,11,Bad,1562.91,30.07719135,10 Years and 9 Months,Yes,42.94109042,77.31427572,High_spent_Medium_value_payments,400.3608005,1/5/2023
CUS_0x1009,52312.68_,4250.39,6,5,17,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",5,18,9.73,4,_,202.68,40.28699667,31 Years and 0 Months,Yes,108.3664671,58.66019165,High_spent_Medium_value_payments,508.0123412,1/1/2025
CUS_0x100b,113781.39,9549.7825,1,4,1,0,,14,8,8.34,4,Good,1030.2,28.59294254,15 Years and 10 Months,No,0,617.0792665,High_spent_Small_value_payments,597.8989835,1/3/2024
CUS_0x1011,58918.47,5208.8725,3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,13,14.42,7,Standard,473.14,27.82995908,15 Years and 10 Months,Yes,123.4349388,383.3508446,Low_spent_Medium_value_payments,294.1014666,1/11/2023
CUS_0x1013,98620.98,7962.415,3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,9,1.33,3,Good,1233.51,26.52486358,17 Years and 10 Months,No,228.0180837,332.333708,High_spent_Medium_value_payments,485.8897084,1/12/2023
CUS_0x1015,46951.02,3725.585,7,4,16,0,,8,9,15.83,9,Standard,340.22,38.68223175,21 Years and 5 Months,NM,0,437.4339946,Low_spent_Small_value_payments,225.1245054,1/8/2023
CUS_0x1018,61194.81,5014.5675,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",19,22,28.63,8,Bad,2773.09,27.26845771,14 Years and 3 Months,Yes,225.3686914,166.5306299,High_spent_Medium_value_payments,359.5574287,1/11/2023
CUS_0x1026,170614.28,14463.85667,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,3,Good,849.69,31.75752066,20 Years and 8 Months,No,208.9074794,184.2778715,High_spent_Medium_value_payments,1303.200316,1/10/2023
CUS_0x102d,89064.52,7256.043333,5,3,1,1,Mortgage Loan,6,5,6.37,3,_,648.36,30.57429936,30 Years and 3 Months,No,37.57275058,296.0941191,High_spent_Medium_value_payments,641.9374637,1/1/2024
CUS_0x102e,50807.44,4197.953333,8,4,11,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",12,9,2.6,4,_,869.59,30.31145401,22 Years and 10 Months,NM,88.75991925,65.27556453,High_spent_Medium_value_payments,515.7598496,1/4/2024
CUS_0x1032,60410.94,5274.245,4,7,17,4,"Student Loan, Home Equity Loan, Not Specified, and Payday Loan",24,9,10.65,9,Standard,1852.86,31.80839554,16 Years and 3 Months,Yes,149.9263874,481.4927769,!@9#%8,176.0053357,1/8/2023
